SeriesId,Year,Period,Label,Value,Race,Gender
LEU0252938100,2005,A01,2005 Annual,404,Black or African American,Men
LEU0252938100,2006,A01,2006 Annual,419,Black or African American,Men
LEU0252938100,2007,A01,2007 Annual,449,Black or African American,Men
LEU0252938100,2008,A01,2008 Annual,449,Black or African American,Men
LEU0252938100,2009,A01,2009 Annual,453,Black or African American,Men
LEU0252938100,2010,A01,2010 Annual,466,Black or African American,Men
LEU0252938100,2011,A01,2011 Annual,447,Black or African American,Men
LEU0252938100,2012,A01,2012 Annual,446,Black or African American,Men
LEU0252938100,2013,A01,2013 Annual,456,Black or African American,Men
LEU0252938100,2014,A01,2014 Annual,476,Black or African American,Men
LEU0252938100,2015,A01,2015 Annual,492,Black or African American,Men
LEU0252938100,2016,A01,2016 Annual,496,Black or African American,Men
LEU0252938100,2017,A01,2017 Annual,504,Black or African American,Men
LEU0252938100,2018,A01,2018 Annual,526,Black or African American,Men
LEU0252938100,2019,A01,2019 Annual,575,Black or African American,Men
LEU0252938100,2020,A01,2020 Annual,605,Black or African American,Men
LEU0252938100,2021,A01,2021 Annual,597,Black or African American,Men
LEU0252938100,2022,A01,2022 Annual,675,Black or African American,Men
LEU0252938100,2023,A01,2023 Annual,692,Black or African American,Men
LEU0252938700,2000,A01,2000 Annual,491,Black or African American,Men
LEU0252938700,2001,A01,2001 Annual,509,Black or African American,Men
LEU0252938700,2002,A01,2002 Annual,505,Black or African American,Men
LEU0252938700,2003,A01,2003 Annual,519,Black or African American,Men
LEU0252938700,2004,A01,2004 Annual,520,Black or African American,Men
LEU0252938700,2005,A01,2005 Annual,528,Black or African American,Men
LEU0252938700,2006,A01,2006 Annual,543,Black or African American,Men
LEU0252938700,2007,A01,2007 Annual,549,Black or African American,Men
LEU0252938700,2008,A01,2008 Annual,581,Black or African American,Men
LEU0252938700,2009,A01,2009 Annual,588,Black or African American,Men
LEU0252938700,2010,A01,2010 Annual,593,Black or African American,Men
LEU0252938700,2011,A01,2011 Annual,598,Black or African American,Men
LEU0252938700,2012,A01,2012 Annual,604,Black or African American,Men
LEU0252938700,2013,A01,2013 Annual,601,Black or African American,Men
LEU0252938700,2014,A01,2014 Annual,630,Black or African American,Men
