Year,Occupation,Total_Number,Men_Number,Women_Number,Total_MedianEarnings,Men_MedianEarnings,Women_MedianEarnings
2022,"Education, Legal, Community Service, Arts, and Media Occupations:",12252605,4462374,7790231,60541,70370,56064
2022,Computer and Mathematical Occupations:,5417891,4045406,1372485,100196,103298,87509
2022,"Installation, Maintenance, and Repair Occupations:",4146880,4003705,143175,54671,54928,46973
2022,Business and Financial Operations Occupations:,8274826,3873340,4401486,79502,90069,71856
2022,Transportation Occupations:,4340588,3853734,486854,51768,53242,38252
2022,Office and Administrative Support Occupations:,12196123,3378577,8817546,44038,50124,42303
2022,Material Moving Occupations:,3990615,2969427,1021188,36154,37573,32174
2022,Driver/sales workers and truck drivers,2910524,2744927,165597,52583,53448,37058
2023,Professional and related occupations,32088,14645,17443,1458,1736,1278
2023,"Natural resources, construction, and maintenance occupations",11368,10793,575,1001,1013,734
2023,Transportation and material moving occupations,8664,7013,1651,841,897,694
2023,Construction and extraction occupations,6517,6277,240,985,991,795
2023,Production occupations,7313,5277,2036,895,966,742
2023,Sales and related occupations,9148,5099,4049,1001,1196,830
2023,Computer and mathematical occupations,6129,4522,1607,1890,1976,1628
2023,"Installation, maintenance, and repair occupations",4120,3968,152,1092,1104,875
2023,Office and administrative support occupations,12519,3777,8743,891,983,864
2023,Business and financial operations occupations,8227,3694,4533,1517,1674,1406
2023,Architecture and engineering occupations,3374,2821,553,1785,1864,1635
2023,Driver/sales workers and truck drivers,2709,2560,149,1005,1016,734
2023,Food preparation and serving related occupations,4325,2289,2036,660,700,618
2023,"Managers, all other",3872,2263,1609,1738,1887,1536
2023,Building and grounds cleaning and maintenance occupations,3520,2161,1359,692,749,621
