occupation_group,occupation,total_number_of_workers,total_median_weekly_earnings,men_number_of_workers,men_median_weekly_earnings,women_number_of_workers,women_median_weekly_earnings
Office and administrative support occupations,Bill and account collectors,84,809,25,–,59,778
Office and administrative support occupations,Billing and posting clerks,391,826,31,–,360,819
Office and administrative support occupations,"Bookkeeping, accounting, and auditing clerks",869,943,130,"1,100",738,922
Office and administrative support occupations,Gambling cage workers,22,–,11,–,11,–
Office and administrative support occupations,Payroll and timekeeping clerks,119,"1,040",16,–,103,"1,037"
Office and administrative support occupations,Procurement clerks,41,–,25,–,16,–
Office and administrative support occupations,Tellers,163,721,44,–,119,711
Office and administrative support occupations,"Financial clerks, all other",121,"1,078",57,"1,335",65,"1,009"
Office and administrative support occupations,Brokerage clerks,6,–,4,–,2,–
Office and administrative support occupations,Correspondence clerks,3,–,0,–,3,–
Office and administrative support occupations,"Court, municipal, and license clerks",84,928,26,–,58,821
Office and administrative support occupations,"Credit authorizers, checkers, and clerks",25,–,8,–,17,–
